event,event_date,date,relative_day,ba_volume,volume_z,estimation_log_volume_mean,estimation_log_volume_sd
netflix,2026-08-19,2026-08-31,8,5212300.0,-0.7781994660305225,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-09-01,9,5010400.0,-0.8871215780294793,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-09-02,10,6426300.0,-0.20091567990846285,15.748780540624056,0.3626946276579272
theatrical,2026-08-14,2026-08-07,-5,4107500.0,-1.4559579054387433,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-10,-4,3678100.0,-1.761660429818787,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-11,-3,2771900.0,-2.5447920456518784,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-12,-2,3372800.0,-2.001566930669365,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-13,-1,2971400.0,-2.3523746652204065,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-14,0,2649100.0,-2.6702451454227494,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-17,1,5020300.0,-0.9003714169014297,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-18,2,4772500.0,-1.0405156632691515,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-19,3,5797500.0,-0.501869073066762,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-20,4,7860600.0,0.34098882337194975,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-21,5,6233400.0,-0.30115998678139433,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-24,6,7144100.0,0.07637810204713938,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-25,7,4854600.0,-0.9932934499945192,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-26,8,4365800.0,-1.287110442632851,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-27,9,4455700.0,-1.2306790946658015,15.754210002353645,0.3611951083857829
theatrical,2026-08-14,2026-08-28,10,4564100.0,-1.1641301121269378,15.754210002353645,0.3611951083857829
