event,specification,date,relative_day,observed_return,expected_return,abnormal_return
hearing,market_sector,2024-06-25,4,-0.0223338909195128,-0.0041770354500231255,-0.018156855469489676
hearing,market_sector,2024-06-26,5,0.0194174401940019,-0.0016359527478760766,0.021053392941877976
hearing,market_sector,2024-06-27,6,0.0224649552203695,-0.0020021856340889377,0.024467140854458436
hearing,market_sector,2024-06-28,7,-0.0027395759961039,-0.00727278634662485,0.00453321035052095
hearing,market_sector,2024-07-01,8,0.0257678291464926,-0.005142521656166094,0.030910350802658693
hearing,market_sector,2024-07-02,9,-0.0068559121597185,0.004161853522632062,-0.011017765682350562
hearing,market_sector,2024-07-03,10,-0.0059864125839339,0.0022324909347109,-0.0082189035186448
hearing,market_only,2024-06-11,-5,-0.0243004167675251,0.0006201886165570943,-0.024920605384082195
hearing,market_only,2024-06-12,-4,-0.0152560745609416,0.004294723002422014,-0.019550797563363614
hearing,market_only,2024-06-13,-3,-0.0107844815265237,0.0003882184508451191,-0.011172699977368819
hearing,market_only,2024-06-14,-2,-0.0189816974748687,-0.0013487515037604626,-0.017632945971108236
hearing,market_only,2024-06-17,-1,0.0063180182218876,0.0037623855368118736,0.0025556326850757266
hearing,market_only,2024-06-18,0,-0.0190593301649042,0.0005002766228249522,-0.019559606787729153
hearing,market_only,2024-06-20,1,0.0074861278785713,-0.002701068883997809,0.01018719676256911
hearing,market_only,2024-06-21,2,0.001474727750059,-0.0020897545969116105,0.0035644823469706106
hearing,market_only,2024-06-24,3,0.0143860929997969,-0.003043094847216354,0.017429187847013253
hearing,market_only,2024-06-25,4,-0.0223338909195128,0.001396038139991878,-0.02372992905950468
hearing,market_only,2024-06-26,5,0.0194174401940019,-0.00010158359935206335,0.019519023793353962
hearing,market_only,2024-06-27,6,0.0224649552203695,-0.0005234455906162165,0.022988400810985715
hearing,market_only,2024-06-28,7,-0.0027395759961039,-0.0036890907074310503,0.0009495147113271502
hearing,market_only,2024-07-01,8,0.0257678291464926,0.0005981048536313829,0.025169724292861215
hearing,market_only,2024-07-02,9,-0.0068559121597185,0.002830593393356181,-0.009686505553074681
hearing,market_only,2024-07-03,10,-0.0059864125839339,0.0021259952051459552,-0.008112407789079856
netflix,market_sector,2026-08-12,-5,-0.0087463921148882,0.00272160421577289,-0.01146799633066109
netflix,market_sector,2026-08-13,-4,-0.0037629547087851,0.0029112029135886057,-0.0066741576223737055
netflix,market_sector,2026-08-14,-3,0.0058177238190337,0.006102407809448933,-0.0002846839904152333
netflix,market_sector,2026-08-17,-2,-0.0246902976903026,-0.013505743113862781,-0.011184554576439819
netflix,market_sector,2026-08-18,-1,-0.012790437834396,0.0014001020210776798,-0.01419053985547368
netflix,market_sector,2026-08-19,0,-0.0038554676758015,-0.009176070140603797,0.005320602464802298
netflix,market_sector,2026-08-20,1,-0.031953154555535,-0.026006414570353666,-0.005946739985181332
netflix,market_sector,2026-08-21,2,-0.0041841428625543,-0.001203144126899455,-0.0029809987356548447
netflix,market_sector,2026-08-24,3,-0.0174602721179248,-0.007066727589598337,-0.010393544528326464
netflix,market_sector,2026-08-25,4,0.0029459046726649,-0.002150257960918497,0.005096162633583397
netflix,market_sector,2026-08-26,5,0.0047848896061899,0.006909975308142421,-0.002125085701952521
netflix,market_sector,2026-08-27,6,-0.0103729406677781,0.0018920479645422594,-0.01226498863232036
netflix,market_sector,2026-08-28,7,-0.0003334702255144,-0.004766797688668029,0.004433327463153629
netflix,market_sector,2026-08-31,8,-0.0097226597736678,-0.016912778158113873,0.007190118384446073
netflix,market_sector,2026-09-01,9,-0.0102030759921188,-0.009717478011657813,-0.0004855979804609858
netflix,market_sector,2026-09-02,10,0.0156082436930811,-0.005080553356845794,0.020688797049926894
netflix,market_only,2026-08-12,-5,-0.0087463921148882,0.002389816456772857,-0.011136208571661057
netflix,market_only,2026-08-13,-4,-0.0037629547087851,0.006858739695190119,-0.010621694403975219
netflix,market_only,2026-08-14,-3,0.0058177238190337,-0.0025774727814277523,0.008395196600461452
netflix,market_only,2026-08-17,-2,-0.0246902976903026,-0.006634606176093474,-0.018055691514209125
netflix,market_only,2026-08-18,-1,-0.012790437834396,-0.008535494409617594,-0.004254943424778406
netflix,market_only,2026-08-19,0,-0.0038554676758015,0.0017947047039761663,-0.005650172379777666
netflix,market_only,2026-08-20,1,-0.031953154555535,-0.010588834394436659,-0.02136432016109834
netflix,market_only,2026-08-21,2,-0.0041841428625543,0.0043654886807902174,-0.008549631543344517
netflix,market_only,2026-08-24,3,-0.0174602721179248,-0.0038487639492436297,-0.013611508168681171
netflix,market_only,2026-08-25,4,0.0029459046726649,0.0030381214221029164,-9.221674943801642e-05
netflix,market_only,2026-08-26,5,0.0047848896061899,-0.0008646800192138445,0.0056495696254037445
netflix,market_only,2026-08-27,6,-0.0103729406677781,0.00764824620335652,-0.01802118687113462
netflix,market_only,2026-08-28,7,-0.0003334702255144,-0.00348635097824834,0.00315288075273394
netflix,market_only,2026-08-31,8,-0.0097226597736678,-0.004445417302975701,-0.005277242470692099
netflix,market_only,2026-09-01,9,-0.0102030759921188,-0.008800854191181545,-0.0014022218009372544
netflix,market_only,2026-09-02,10,0.0156082436930811,0.004660893632450777,0.010947350060630323
theatrical,market_sector,2026-08-07,-5,0.0096041849523724,0.0017610163596202578,0.007843168592752142
theatrical,market_sector,2026-08-10,-4,-0.0069533525106409,0.0036470513518139748,-0.010600403862454874
theatrical,market_sector,2026-08-11,-3,0.0019331252201986,-0.005454284607741245,0.0073874098279398445
theatrical,market_sector,2026-08-12,-2,-0.0087463921148882,0.0025645703341863925,-0.011310962449074593
theatrical,market_sector,2026-08-13,-1,-0.0037629547087851,0.0028518991842512963,-0.006614853893036396
