event,event_date,uncertainty,window,start,end,n_days,median,mean,ci95_low,ci95_high,ci90_low,ci90_high,p_lt_0,p_lt_minus_1pct,p_lt_minus_3pct,p_abs_lt_1pct
hearing,2024-06-18,predictive,"[0,0]",0,0,1,-0.02130032535566865,-0.02143031014354509,-0.05343851759853298,0.011237489973694252,-0.047614296864361354,0.004590175728638681,0.92325,0.797,0.26625,0.1765
hearing,2024-06-18,predictive,"[-1,+1]",-1,1,3,-0.015544873917781367,-0.015112486078710937,-0.07178150392422204,0.04517574962591733,-0.06170624367844395,0.031612158427950114,0.72275,0.58975,0.292,0.2285
hearing,2024-06-18,predictive,"[-3,+3]",-3,3,7,-0.0054371210321976435,-0.005577247532028274,-0.09488452943983942,0.07943673680860192,-0.07975925518730792,0.06589821091419698,0.54925,0.45325,0.28,0.1835
hearing,2024-06-18,predictive,"[0,+5]",0,5,6,0.013588297501182104,0.013414866227582398,-0.06914603823428692,0.09588400256708339,-0.0523999562155633,0.08106575708790897,0.3645,0.27575,0.1395,0.18875
hearing,2024-06-18,predictive,"[0,+10]",0,10,11,0.05301151598744068,0.05220889329958393,-0.05777922376890262,0.16041363266215963,-0.04036355234254542,0.14170709068443618,0.16925,0.12975,0.07325,0.09375
hearing,2024-06-18,parameter_only,"[0,0]",0,0,1,-0.021427483949884918,-0.021424310342433722,-0.02360418031114829,-0.01923909179911478,-0.023235872443355832,-0.019584964425670294,1.0,1.0,0.0,0.0
hearing,2024-06-18,parameter_only,"[-1,+1]",-1,1,3,-0.014998038217711113,-0.014962989676132668,-0.022149029563049684,-0.0077425975190148705,-0.02111611460056234,-0.008800001363700034,1.0,0.908,0.0,0.092
hearing,2024-06-18,parameter_only,"[-3,+3]",-3,3,7,-0.006093433283361467,-0.006184442848849701,-0.02004434618060387,0.007899368716673075,-0.01804863487196089,0.005613681898890642,0.80775,0.298,0.00025,0.6895
hearing,2024-06-18,parameter_only,"[0,+5]",0,5,6,0.013185056974997826,0.013145804411567862,0.0014023841512268561,0.02501731521184008,0.00316755276239914,0.023147140252871144,0.0145,0.0,0.0,0.303
hearing,2024-06-18,parameter_only,"[0,+10]",0,10,11,0.051985045925417875,0.051865709462844606,0.03014342692818626,0.07402003578323917,0.03309490046985301,0.07053892203554671,0.0,0.0,0.0,0.0
netflix,2026-08-19,predictive,"[0,0]",0,0,1,0.00652922630433079,0.006535526456464582,-0.027409620880632313,0.04209722828737284,-0.019932567811680214,0.03341580694806663,0.32225,0.12875,0.02025,0.469
netflix,2026-08-19,predictive,"[-1,+1]",-1,1,3,-0.011966456636969582,-0.011826279688948659,-0.06815813638513174,0.04706406558130271,-0.05919385449036238,0.03645872257451802,0.667,0.53175,0.251,0.26225
netflix,2026-08-19,predictive,"[-3,+3]",-3,3,7,-0.035072162698457574,-0.03456332937381051,-0.12242617738864484,0.05588669976626084,-0.1080746101689285,0.04052761464962589,0.778,0.70925,0.5495,0.125
netflix,2026-08-19,predictive,"[0,+5]",0,5,6,-0.006147314307533638,-0.005893855070898214,-0.08740977365744242,0.07713951462192245,-0.07289087373054537,0.0635064872403824,0.563,0.4655,0.27375,0.187
netflix,2026-08-19,predictive,"[0,+10]",0,10,11,0.017956256787908575,0.01724389642506219,-0.09896641246273744,0.13024399971075953,-0.07900534347536646,0.10970229242101677,0.36525,0.30575,0.1965,0.12875
netflix,2026-08-19,parameter_only,"[0,0]",0,0,1,0.006217459860076284,0.006217016627208061,0.0022185952465315086,0.010251443491022178,0.0027860575850672557,0.009597836485905953,0.00125,0.0,0.0,0.96625
netflix,2026-08-19,parameter_only,"[-1,+1]",-1,1,3,-0.012821682197068137,-0.012815469873350515,-0.02160923845224678,-0.0038642713556209544,-0.020418170088203694,-0.005315041585896462,0.99825,0.73875,0.0,0.26125
netflix,2026-08-19,parameter_only,"[-3,+3]",-3,3,7,-0.035662815009000336,-0.03567198237266523,-0.05290868751948011,-0.018773059065244565,-0.05022808229329141,-0.021274349757701257,0.99975,0.99875,0.74225,0.00125
netflix,2026-08-19,parameter_only,"[0,+5]",0,5,6,-0.007041857914377314,-0.0070864948265201315,-0.023046050663204486,0.00873226143524436,-0.020606487344994758,0.006114093364836998,0.809,0.357,0.0025,0.62375
netflix,2026-08-19,parameter_only,"[0,+10]",0,10,11,0.015957283413363006,0.015892227129725458,-0.0139752260783517,0.04524842778253046,-0.009408982681465235,0.040786286599608396,0.145,0.04475,0.00125,0.29975
theatrical,2026-08-14,predictive,"[0,0]",0,0,1,-0.0002694347103298408,-0.00017605866823948094,-0.03506923321470532,0.033837893889369294,-0.027460471062173822,0.027595196297538184,0.506,0.2475,0.04175,0.5015
theatrical,2026-08-14,predictive,"[-1,+1]",-1,1,3,-0.017218889240968774,-0.01710560003442626,-0.07715877688886401,0.04116763978112762,-0.06441620647419904,0.030348853809492028,0.7325,0.606,0.32225,0.22425
theatrical,2026-08-14,predictive,"[-3,+3]",-3,3,7,-0.030047304036558073,-0.028271194361306505,-0.11930969764350383,0.062332272741981484,-0.10273599044694098,0.04712793543022702,0.73825,0.65875,0.501,0.14425
theatrical,2026-08-14,predictive,"[0,+5]",0,5,6,-0.02717458207679977,-0.02717702435340335,-0.11141708723012766,0.0561997113175299,-0.09707047400699267,0.04142371494691166,0.741,0.664,0.47375,0.15125
theatrical,2026-08-14,predictive,"[0,+10]",0,10,11,-0.03930048467017061,-0.03956513190483414,-0.1513852650971571,0.07182783396626181,-0.13391654926524302,0.055058060386190884,0.7555,0.69675,0.5685,0.1085
theatrical,2026-08-14,parameter_only,"[0,0]",0,0,1,0.00013584908223587605,0.00014075551579015118,-0.0033152305619198203,0.0037043559287852153,-0.0027720118263451885,0.003119948143519218,0.47425,0.0,0.0,1.0
theatrical,2026-08-14,parameter_only,"[-1,+1]",-1,1,3,-0.016683120148583003,-0.016705349469949886,-0.0228314124454237,-0.010383372561325804,-0.021874245209718927,-0.011510457507825877,1.0,0.9805,0.0,0.0195
theatrical,2026-08-14,parameter_only,"[-3,+3]",-3,3,7,-0.027801950583786855,-0.027857652014213977,-0.04237876990986061,-0.01255185994597862,-0.04004625154547947,-0.015470214226902096,0.99975,0.9905,0.384,0.0095
theatrical,2026-08-14,parameter_only,"[0,+5]",0,5,6,-0.02662712202327403,-0.02652760905038199,-0.041271351529099394,-0.011045076610875065,-0.038725494266417755,-0.013941758300772942,0.9995,0.98325,0.324,0.01675
theatrical,2026-08-14,parameter_only,"[0,+10]",0,10,11,-0.03942105306923976,-0.039298842053994386,-0.06362899612746836,-0.013941327909016574,-0.0599135876977706,-0.018717967090626886,0.9985,0.988,0.77425,0.012
